Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
665e00580e64e26da6bc6bc6,655e1de592bef9eaafd726db,APPROVED,Not Applicable,2024-06-03T17:41:52.919000Z,2024-06-03T17:46:42.292000Z,2024-06-10T14:16:03.290000Z,2024-06-03T17:46:43.054099Z,290.0,C9MPDOEC,277,42,Male,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
665e0059abf4de6c56cc7884,6638fa432ce684f0fde3673f,APPROVED,Not Applicable,2024-06-03T17:41:51.351000Z,2024-06-03T17:50:24.925000Z,2024-06-10T14:16:03.653000Z,2024-06-03T17:51:48.269686Z,514.0,C9MPDOEC,16,33,Female,White,United Kingdom,Canada,Canada,English,No,Full-Time
665e005d5cd2a0b76e704800,6266cb866a3b01a9fbb1de05,APPROVED,Not Applicable,2024-06-03T17:41:54.549000Z,2024-06-03T17:47:04.168000Z,2024-06-10T14:16:03.965000Z,2024-06-03T17:47:04.928193Z,310.0,C9MPDOEC,325,53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
665e00629a5936a0c0d3996d,5fbad25db696e7b3339357f1,APPROVED,Not Applicable,2024-06-03T17:42:01.436000Z,2024-06-03T17:47:44.796000Z,2024-06-10T14:16:05.454000Z,2024-06-03T17:47:45.440901Z,344.0,C9MPDOEC,838,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
665e007152936519fe10a3a3,664320ce44b1f781551bcb41,APPROVED,Not Applicable,2024-06-03T17:42:26.884000Z,2024-06-03T18:09:26.578000Z,2024-06-10T14:16:05.722000Z,2024-06-03T18:09:27.015432Z,1620.0,C9MPDOEC,0,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
665e00beec41e6f6e30fdcaa,565e944394730100114a9119,APPROVED,Not Applicable,2024-06-03T17:43:39.447000Z,2024-06-03T17:49:53.591000Z,2024-06-10T14:16:06.006000Z,2024-06-03T17:51:41.379879Z,375.0,C9MPDOEC,786,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
665e00c4f3ebcc013c5e7336,5df65ed4c12a364643333ff7,APPROVED,Not Applicable,2024-06-03T17:43:38.584000Z,2024-06-03T17:48:32.213000Z,2024-06-10T14:16:06.291000Z,2024-06-03T17:51:04.207056Z,294.0,C9MPDOEC,181,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Unemployed (and job seeking)
665e00d04217927bf1ec80d9,6566ddd02affd70f7f88f805,APPROVED,Not Applicable,2024-06-03T17:44:19.470000Z,2024-06-03T17:53:00.338000Z,2024-06-10T14:16:06.569000Z,2024-06-03T17:53:03.619116Z,521.0,C9MPDOEC,71,20,Male,Mixed,Canada,Mexico,Mexico,English,Yes,Unemployed (and job seeking)
665e00d8067d2e96b0519705,60fdc6159ef09629520dabb4,APPROVED,Not Applicable,2024-06-03T17:43:59.703000Z,2024-06-03T17:51:19.142000Z,2024-06-10T14:16:06.837000Z,2024-06-03T17:52:03.488578Z,440.0,C9MPDOEC,127,24,Female,White,Canada,Canada,Canada,English,Yes,DATA_EXPIRED
665e00e71a70e22b1f7055ed,62b2aea60b8dbf2bda1d67e7,APPROVED,Not Applicable,2024-06-03T17:44:15.684000Z,2024-06-03T17:49:21.022000Z,2024-06-10T14:16:07.102000Z,2024-06-03T17:51:26.884964Z,306.0,C9MPDOEC,121,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
665e00e848e077eb0da19065,5d53182ac93322000116f939,APPROVED,Not Applicable,2024-06-03T17:44:13.245000Z,2024-06-03T17:52:33.583000Z,2024-06-10T14:16:07.376000Z,2024-06-03T17:52:55.699756Z,501.0,C9MPDOEC,898,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
665e00e9de66181827bcb860,5ec28a6332a7510637436a57,APPROVED,Not Applicable,2024-06-03T17:44:32.749000Z,2024-06-03T17:53:39.186000Z,2024-06-10T14:16:07.648000Z,2024-06-03T17:53:39.988860Z,547.0,C9MPDOEC,630,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
665e00ed1ef4b41d71ce9011,6059e3909175da8dd9105322,APPROVED,Not Applicable,2024-06-03T17:44:17.296000Z,2024-06-03T17:50:08.924000Z,2024-06-10T14:16:07.945000Z,2024-06-03T17:51:45.444947Z,352.0,C9MPDOEC,846,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
665e00ee7db1d7dfbe5cdea2,662a9dd8618b4d313c4cf997,APPROVED,Not Applicable,2024-06-03T17:44:30.256000Z,2024-06-03T17:53:35.984000Z,2024-06-10T14:16:08.256000Z,2024-06-03T17:53:36.576353Z,546.0,C9MPDOEC,4,39,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
665e01002d98fb23d10f3c59,663c1a1ed18ce928e9b08f9a,APPROVED,Not Applicable,2024-06-03T17:44:47.831000Z,2024-06-03T18:06:49.842000Z,2024-06-10T14:16:08.564000Z,2024-06-03T18:06:50.331127Z,1323.0,C9MPDOEC,13,19,Male,Asian,Canada,Canada,Canada,English,Yes,Part-Time
665e0117140fcdc52562696a,6383b7d918eb0bcaf1047eed,APPROVED,Not Applicable,2024-06-03T17:44:59.561000Z,2024-06-03T17:49:08.237000Z,2024-06-10T14:16:08.904000Z,2024-06-03T17:51:22.358849Z,249.0,C9MPDOEC,116,21,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
665e01299826a5f5ea077179,60a632783b1c2724896b2e3e,APPROVED,Not Applicable,2024-06-03T17:45:29.152000Z,2024-06-03T17:52:51.976000Z,2024-06-10T14:16:09.205000Z,2024-06-03T17:53:01.014740Z,443.0,C9MPDOEC,58,37,Female,Other,South Africa,South Africa,South Africa,English,No,Full-Time
665e012d0017e96c7c3f0066,60d0ead827bdcce9869be293,APPROVED,Not Applicable,2024-06-03T17:45:22.264000Z,2024-06-03T17:54:16.542000Z,2024-06-10T14:16:09.475000Z,2024-06-03T17:54:17.007900Z,535.0,C9MPDOEC,272,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
665e014839825998f9be4d67,5a465b1756ec1100014a317f,APPROVED,Not Applicable,2024-06-03T17:45:50.177000Z,2024-06-03T17:54:59.815000Z,2024-06-10T14:16:09.785000Z,2024-06-03T17:55:00.410028Z,550.0,C9MPDOEC,789,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
665e014e2f40cd78894d334f,5f78e7a0d14cd84e060fde57,APPROVED,Not Applicable,2024-06-03T17:46:00.024000Z,2024-06-03T17:58:14.381000Z,2024-06-10T14:16:10.017000Z,2024-06-03T17:58:14.848308Z,735.0,C9MPDOEC,734,39,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
665e01603b66774e7cfa5c41,62b33e90d4a7c3f314f45ba6,APPROVED,Not Applicable,2024-06-03T17:46:17.474000Z,2024-06-03T18:02:07.775000Z,2024-06-10T14:16:10.367000Z,2024-06-03T18:02:08.811541Z,951.0,C9MPDOEC,690,49,Female,White,Australia,United Kingdom,United Kingdom,English,No,Full-Time
665e0163abf4de6c56cc78db,6658e643481baf7b751a69e7,RETURNED,Not Applicable,2024-06-03T17:46:24.902000Z,,,2024-06-04T09:22:31.129608Z,,,0,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665e0169f1b1b81b97c8650e,664a649933d260dd95631f78,APPROVED,Not Applicable,2024-06-03T17:47:25.717000Z,2024-06-03T17:53:36.040000Z,2024-06-10T14:16:10.713000Z,2024-06-03T17:53:36.790656Z,371.0,C9MPDOEC,25,27,Female,White,Canada,Canada,Canada,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
665e019b1c2f04b05d0588e9,665df7d58501a55e990b773a,APPROVED,Not Applicable,2024-06-03T17:47:18.104000Z,2024-06-03T17:54:17.878000Z,2024-06-10T14:16:11.034000Z,2024-06-03T17:54:18.327804Z,420.0,C9MPDOEC,0,28,Male,White,Canada,Canada,Canada,English,No,DATA_EXPIRED
665e019f067d2e96b0519735,663f3c1f89f2441837da529c,APPROVED,Not Applicable,2024-06-03T17:47:19.799000Z,2024-06-03T17:56:34.459000Z,2024-06-10T14:16:11.350000Z,2024-06-03T17:56:35.048455Z,555.0,C9MPDOEC,12,29,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time
665e01b168c85f9010e6bceb,5d6287ad72df0c0001c01743,APPROVED,Not Applicable,2024-06-03T17:47:56.573000Z,2024-06-03T17:51:34.189000Z,2024-06-10T14:16:11.605000Z,2024-06-03T17:52:14.421316Z,218.0,C9MPDOEC,135,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
665e01baafcfff35e75c5db6,664cd2ad9890dd0635623687,APPROVED,Not Applicable,2024-06-03T17:47:50.646000Z,2024-06-03T17:54:08.551000Z,2024-06-10T14:16:11.815000Z,2024-06-03T17:54:09.105220Z,378.0,C9MPDOEC,0,22,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
665e01beded791cf8ebba4bc,558996f2fdf99b7ae47f5ed2,RETURNED,Not Applicable,2024-06-03T17:47:46.269000Z,,,2024-06-04T09:22:31.145424Z,,,3522,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
665e01d69c2d59430c0b9fb8,664e2b422592c45b88004d2b,APPROVED,Not Applicable,2024-06-03T17:48:13.494000Z,2024-06-03T17:59:25.528000Z,2024-06-10T14:16:12.033000Z,2024-06-03T17:59:32.875579Z,673.0,C9MPDOEC,0,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
665e01da244686f6c113c21c,6658d57e96aa5518f7414d69,APPROVED,Not Applicable,2024-06-03T17:48:49.849000Z,2024-06-03T17:55:25.543000Z,2024-06-10T14:16:12.704000Z,2024-06-03T17:55:26.478241Z,396.0,C9MPDOEC,2,24,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
665e01f7ec41e6f6e30fdcec,6658c3323d9230d99c3e668a,APPROVED,Not Applicable,2024-06-03T17:48:48.469000Z,2024-06-03T18:02:02.356000Z,2024-06-10T14:16:13.065000Z,2024-06-03T18:02:04.081218Z,794.0,C9MPDOEC,2,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
665e01f9f2f015a9258154b1,5fd50a355025422fd25bb05b,APPROVED,Not Applicable,2024-06-03T17:48:48.491000Z,2024-06-03T17:58:11.405000Z,2024-06-10T14:16:13.460000Z,2024-06-03T17:58:11.888383Z,563.0,C9MPDOEC,673,28,Male,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
665e01fcd468e427a5d178d9,5e77fed7cce2a238627ce1a2,RETURNED,Not Applicable,2024-06-03T17:59:00.065000Z,,,2024-06-04T09:22:31.194723Z,,,1230,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
