Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66671ad052b7fb7698867511,5f3cdeac3e6628022bbc945d,AWAITING REVIEW,Not Applicable,2024-06-10T15:25:14.670000Z,2024-06-10T15:32:33.093000Z,,2024-06-10T15:32:56.074352Z,439.0,CYLPZ8FB,28,22,Male,Mixed,Poland,Poland,Poland,English,Yes,Full-Time
66671affe1a3f3c89e836dd8,60be17bce1456e0796cde161,AWAITING REVIEW,Not Applicable,2024-06-10T15:26:00.935000Z,2024-06-10T15:37:07.914000Z,,2024-06-10T15:37:08.385892Z,667.0,CYLPZ8FB,243,25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
66671b1cb88dd23073d0c120,5ab2706b0527ba0001c150d6,AWAITING REVIEW,Not Applicable,2024-06-10T15:26:24.452000Z,2024-06-10T15:32:50.968000Z,,2024-06-10T15:32:57.482632Z,387.0,CYLPZ8FB,1257,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66671b23d20df66626dad393,60f06eeaa0f318fdd01eb90e,AWAITING REVIEW,Not Applicable,2024-06-10T15:27:03.383000Z,2024-06-10T15:35:09.633000Z,,2024-06-10T15:35:10.421856Z,487.0,CYLPZ8FB,821,38,Female,White,Canada,Canada,Canada,English,No,Full-Time
66671b26c897e23afecaa948,5f51f05354863a44677a2eef,AWAITING REVIEW,Not Applicable,2024-06-10T15:26:36.365000Z,2024-06-10T15:32:23.069000Z,,2024-06-10T15:32:55.262059Z,347.0,CYLPZ8FB,387,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
66671b6a4060384c38aee599,5ffa2123b5a05a3b17839781,AWAITING REVIEW,Not Applicable,2024-06-10T15:27:38.252000Z,2024-06-10T15:37:52.111000Z,,2024-06-10T15:37:52.990277Z,614.0,CYLPZ8FB,616,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
66671b83a33906557bd0c0a7,6650b007f34c780768bdf441,AWAITING REVIEW,Not Applicable,2024-06-10T15:28:08.443000Z,2024-06-10T15:33:10.554000Z,,2024-06-10T15:33:10.991577Z,303.0,CYLPZ8FB,1,24,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
66671b9d349b653e2424a9b2,60b3ed804487f6424230554f,AWAITING REVIEW,Not Applicable,2024-06-10T15:28:34.043000Z,2024-06-10T15:33:33.283000Z,,2024-06-10T15:33:33.780026Z,300.0,CYLPZ8FB,580,41,Female,White,South Africa,Spain,United Kingdom,English,No,Part-Time
66671becfd73fad305129aa1,604276d88925be14aa3b0070,AWAITING REVIEW,Not Applicable,2024-06-10T15:29:53.751000Z,2024-06-10T15:37:19.497000Z,,2024-06-10T15:37:19.911030Z,446.0,CYLPZ8FB,54,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
66671bed9eed3d6cf141a222,5bb9230a8869b10001012321,AWAITING REVIEW,Not Applicable,2024-06-10T15:29:55.574000Z,2024-06-10T15:37:32.754000Z,,2024-06-10T15:37:33.243198Z,458.0,CYLPZ8FB,80,30,Female,Mixed,United States,Italy,United States,English,No,DATA_EXPIRED
